Ticker,City,Total Pay
BAC,Charlotte,26039213
IQV,Durham,22139776
HON,Charlotte,20525104
NUE,Charlotte,19099582
DUK,Charlotte,15029386
COMM,Hickory,13992038
MLM,Raleigh,12198358
COKE,Charlotte,11707624
LOW,Mooresville,11621369
TFC,Charlotte,11491109
XRAY,Charlotte,11366243
CREE,Durham,10448871
CW,Davidson,9185015
TREE,Charlotte,9022988
SEE,Charlotte,8972537
ALB,Charlotte,8521584
BHF,Charlotte,8490118
AAP,Raleigh,7691513
PINC,Charlotte,7680984
SYNH,Morrisville,7646359
SPXC,Charlotte,7608668
QRVO,Greensboro,7394904
ODFL,Thomasville,7344950
PRAH,Raleigh,7160216
SKT,Greensboro,6569699
KTB,Greensboro,6254034
IR,Davidson,5535511
AERI,Durham,5529666
JELD,Charlotte,5494222
CATO,Charlotte,5271448
FLOW,Charlotte,4850813
LH,Burlington,4617739
SAH,Charlotte,4278671
FCNCA,Raleigh,4024342
STAY,Charlotte,3994839
GTHX,Research Triangle Park,3983445
HBI,Winston-Salem,3956325
BMCH,Raleigh,3626092
BDSI,Raleigh,2937522
CMRX,Durham,2644631
NPO,Charlotte,2551886
BCRX,Durham,2284297
BAND,Raleigh,2247490
DTIL,Durham,2166460
HIW,Raleigh,2103705
CNR,Cary,1967104
IIIN,Mount Airy,1769460
LQDA,Morrisville,1729088
UFI,Greensboro,1609072
ECOM,Morrisville,1513891
FRX,Durham,1477136
ITIC,Chapel Hill,1252779
IMKTA,Black Mountain,1239539
FBNC,Southern Pines,1051960
HTBI,Asheville,1047385
NNBR,Charlotte,944043
VTVT,High Point,832803
LOB,Wilmington,716226
AKTS,Huntersville,658709
SLCT,Dunn,621645
PEBK,Newton,552257
